Item_ID	Sentence	Context	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head	maunalHedge
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.	###sure . E_S ###SpeakerA153*t152 . ###SpeakerB154*t154 . ###realistically it is -NONE- . E_S ###SpeakerA155*t155 . ###and \[ I , \+ I \] think , \+ I think \] that \[ we may not , \+ that may be , \] you know , perhaps if we put money on the back burner \[ that may , \+ that may \] choose -N407B1F to alleviate a lot of the problem . E_S ###SpeakerB156*t156 . ###Uh-huh . E_S ###SpeakerA157*t156 . ###SpeakerB158*t158 . ###That would , certainly help . E_S ###SpeakerA159*t159 . ###I mean , I mean \[ we may not , \+ we may not \] have as high a standard of living E_S ###SpeakerB160*t159 . ###SpeakerB162*t162 . ###Uh-huh . E_S ###SpeakerA163*t163 . ###\[ but the qua- , \+ but actually -NONE- have a truer standard \] of living . E_S ###SpeakerB164*t164 . ###Right . E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
737:58	they've got, uh, they've got a couple of kids, ten or twelve years old,	###SpeakerA41*t41 . ###Is , uh , E_S ###do you know who he is -N402566 . E_S ###SpeakerB42*t42 . ###Yeah . E_S ###Somebody in South Carolina told me about him . E_S ###SpeakerA43*t43 . ###He 's \[ a , \+ the \] movie critic . E_S ###Um , oh , you 've , oh , E_S ###okay . E_S ###He 's a movie critic on channel eight in Dallas . E_S ###SpeakerB44*t44 . ###Yeah . E_S ###SpeakerA45*t45 . ###And \[ he does , \+ uh , he has \] a talk show on the , K L I F . E_S ###Anyway , it 's on from seven to nine , or something . E_S ###\[ And , \+ and , \] \+ and \] people call in E_S ###and it 's , E_S ###if you keep up with movies , it 's kind of interesting . E_S ###There 's a certain a mount of dribble that they do -N402B49 . E_S 	yes	yes	no	no	no	yes	no	no	yes	S	no
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	###You listen to him E_S ###and then \[ you , \+ you \] go -N402EC1 watch the movie . E_S ###In fact , \[ they had , \+ people had \] just seen , E_S ###I was listening Sunday night a little bit when , I was going -N40303E to pick up my daughter -N403059 . E_S ###SpeakerB48*t48 . ###Uh-huh . E_S ###SpeakerA49*t49 . ###But , anyway , it was , uh , the , E_S ###\[ it , \+ it 's \] interesting , though , E_S ###\[ the , \+ the \] difficulty \[ with , \+ with \] DANCING WITH WOLVES is that when you make a movie like that -N403297 , and you produce it -N4032B2 , and then you star in it -N4032D5 , uh , the question is , \[ did he , \+ did he \] really know -NONE- it was going -N403324 to be good E_S ###or did he just do it . E_S ###SpeakerB50*t50 . ###\[ I think that , \+ I think \] -NONE- he really , E_S ###his heart was in it , E_S ###but \[ I , \+ I \] do n't think -NONE- he really knew -NONE- it was going -N40371E to be as big as it was -NONE- . E_S ###I think -NONE- it was something that he really wanted -N40387F to do -N40388E . E_S ###He wanted -N40394C to direct it , E_S ###he wanted -N4039B6 \[ to , \+ to \] star in it . E_S ###You know , \[ he , \+ he \] enjoyed the story line E_S ###and I think -NONE- \[ he just really w- , \+ he really wanted \] it . E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.	###but in the second time , at least overtly , uh , where someone comes in and , uh , finds out information about you that -N400716 should be private -N400729 , uh , does not seem , uh , um , obviously , everyday . E_S ###SpeakerB2*t2 . ###\[ I , \+ I \] think -NONE- I agree with that . E_S ###I think -NONE- in a good example on the typical thing that -N4009A7 happens , uh , when the phone rang -N4009CE and it 's T I -NONE- -N4009ED calling , my immediate reaction is that it 's some sort of strange phone message E_S ###and then I realize , oh , no , this is something -NONE- I solicited -N400BFE , E_S ###SpeakerA3*t3 . ###That 's right . E_S ###SpeakerB4*t4 . ###so my immediate reaction was one of that sense of invasion E_S ###but after that I realized , no , \[ I , \+ I \] really wanted this E_S ###and it was sort of exciting E_S ###and so , that was almost an example of \[ s- , \+ \] an invasion that -N400EC8 turns out -N400ED7 to be not invasive . E_S ###SpeakerA5*t5 . ###Uh-huh . E_S ###SpeakerB6*t5 . ###SpeakerA7*t7 . ###Right , E_S ###it turned out -N401022 to be , uh , uh , an invitation . E_S ###SpeakerB8*t8 . ###Exactly . E_S 	yes	yes	no	no	no	yes	no	no	yes	S	no
967:82	um, the, the other side of that might be if, if someone found out something --n403a7d or surmised something --n403a90 that --n403a9b weren't true then i would feel probably more invaded in the gossipy sort of sense.	###Uh , if you 're defining it in terms of information gone even if it 's something -NONE- you do n't know -N403364 about it , well , then I guess -NONE- one could assume -NONE- one was invaded -N4033AB E_S ###SpeakerA33*t33 . ###uh-huh , E_S ###uh-huh . E_S ###SpeakerB34*t34 . ###but I do n't feel invaded by it . E_S ###SpeakerA35*t35 . ###Uh-huh , E_S ###SpeakerB36*t36 . ###I do n't , have a sense of threat -N403625 in general from those sorts of things , E_S ###SpeakerA37*t37 . ###uh-huh . E_S ###SpeakerB38*t38 . ###I 'm not sure why . E_S ###Uh , I guess -NONE- it comes from a sense of fact or facts E_S ###and if someone finds out something about me that -N403830 is true , \[ I , \+ I \] do n't have a sense of loss from that . E_S ###SpeakerA39*t39 . ###Uh-huh . E_S ###Well , you must have a relatively clean conscience then . E_S ###SpeakerB40*t40 . 	yes	yes	no	no	no	no	no	no	yes	S	no
1036:63	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	###SpeakerA61*t61 . ###Yeah . E_S ###And , um , one of the problems with the Lotus data base was , um , that it was uncontrolled access to who -N404C97 would have that information . E_S ###I mean , they said -NONE- they would give it out to only select companies but , um , you know , just like software is only given -N404E18 out to customers , E_S ###I mean , you ca n't believe that . E_S ###SpeakerB62*t62 . ###Right . E_S ###Right . E_S ###SpeakerA63*t63 . ###\[ It would , \+ it would \] be pirated -N405032 E_S ###and they would n't bother -N4050C2 to check that carefully anyway to someone who -N4050E9 's offering , you know , full cash price , for it . E_S ###SpeakerB64*t64 . ###Right . E_S ###SpeakerA65*t65 . ###I mean , you know , you ca n't tell it , what a company really has -N405278 to do -N405287 with it E_S ###and there 's something rather ominous about -NONE- having virtually anyone , any hacker being able -N4053BD to know what your income is -N4053DC , what your spending habits are -N4053FB , E_S ###\[ and , \+ you know , and , \] \+ and \] that hacker just has -N405574 to get \[ in to , \+ in touch \] with the sneak thief E_S ###and suddenly \[ and then \+ \] what -N4056D8 started as an invasion of privacy can be an invasion of your actual home . E_S ###SpeakerB66*t66 . ###Uh-huh . E_S 	yes	yes	no	no	no	no	no	yes	yes	S	no
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40.	###SpeakerA93*t93 . ###I mean , \[ they a- , \+ \] , E_S ###you go to India E_S ###and \[ it 's obvious , \+ you know , the results of sex are quite obvious , \] , as the population goes up an extra hundred million every few years . E_S ###Um , but \[ I , \+ I \] just do n't quite , um , E_S ###there 's hope , E_S ###I actually E_S ###for al- , of the time -NONE- I 've spent -N408226 there , I still do n't quite understand how certain things that I assume -NONE- -N408269 and require privacy and require not just that you be alone but actually that you have a sense of privacy -N4082C0 . E_S ###SpeakerB94*t94 . ###Yes . E_S ###SpeakerA95*t95 . ###Because anyone can be alone for some period of time E_S ###but for me a lot of what I do -N40857D requires a sense that there 's this invisible barrier around me which people \[ wil- , \+ will \] respect -N4085C8 . E_S ###SpeakerB96*t96 . ###Yes . E_S ###SpeakerA97*t97 . ###And if that 's gone , um , \[ I , \+ I \] really do n't know how -N40875F to live -N40876E very well , E_S ###and \[ I wonder , \+ I really do wonder \] how people do that -N408895 . E_S ###SpeakerB98*t98 . ###That 's interesting . E_S 	yes	yes	no	no	no	no	no	no	yes	SQ	no
1147:55	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list	###And if that 's gone , um , \[ I , \+ I \] really do n't know how -N40875F to live -N40876E very well , E_S ###and \[ I wonder , \+ I really do wonder \] how people do that -N408895 . E_S ###SpeakerB98*t98 . ###That 's interesting . E_S ###\[ Are th- , \+ are there \] any other specific things \[ that , \+ that \] you feel like , \+ \[ where , \+ where \] you feel \] your privacy to be invaded -N408A11 on a day-to-day basis or either on a growing frequency -N408A40 . E_S ###SpeakerA99*t99 . ###All \[ the class- , \+ the other classic \] examples , the Jehovah 's Witness \[ or , \+ or \] Mormons or someone knocking at the front door , um , which -N408C86 is more intrusive because I have -N408CA5 to really tell someone -N408CBC to go away . E_S ###And there 's that sense of , I have now opened my door E_S ###they now see what I look like -N408F30 , what I live like -N408F4B E_S ###\[ and nor- , \+ and they 're \] doing something that normally I really only invite , people to -N409038 . E_S ###SpeakerB100*t100 . ###Okay . E_S ###SpeakerA101*t101 . ###Because I , \[ any , \+ anyone , \] \+ any friend , \] \+ anyone \] -NONE- I give my number to -N40918B is welcome -N40919A to call me , E_S ###but no one is just welcome -N40930D to come by my house . E_S ###So that is more of a sense of invasion . E_S ###SpeakerB102*t102 . ###So , that 's another example of the invasion because of the not so ... E_S ###SpeakerA103*t102 . ###SpeakerA1*t1 . 	yes	yes	no	no	no	no	yes	no	yes	SQ	no
1200:36	but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.	###SpeakerB10*t10 . ###Uh-huh , E_S ###uh-huh . E_S ###Yeah , E_S ###sometimes \[ I , \+ I \] get them on my , uh , answering machine at home E_S ###\[ so , \+ and \] I hate that when I 've got a whole bunch of messages -N4010C0 E_S ###and I go through them E_S ###and most of them are n't from anybody at all . E_S ###SpeakerA11*t11 . ###What I would love -N401258 to see -N401267 done -NONE- to stop all of this , E_S ###SpeakerB12*t12 . ###Uh-huh . E_S ###SpeakerA13*t13 . ###we 've got a thing in this country , E_S ###you can have your phone number unlisted , E_S ###SpeakerB14*t14 . ###Uh-huh . E_S ###SpeakerA15*t15 . ###and I think -NONE- a law should be passed -N40147B to where any of these people , E_S ###I think -NONE- it -N401557 's great , that you know , freedom of speech in this country and everything , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1214:60	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.	###you can have your phone number unlisted , E_S ###SpeakerB14*t14 . ###Uh-huh . E_S ###SpeakerA15*t15 . ###and I think -NONE- a law should be passed -N40147B to where any of these people , E_S ###I think -NONE- it -N401557 's great , that you know , freedom of speech in this country and everything , E_S ###but if they 're going -N40168B to offer these services , or these recorded message , everything , they ought -N4016CA to be stuck -N4016DD -NONE- working with the phone book like everybody else instead of using a computer -N40171C to go through and just go down every sequence of numbers for this certain area code and call them . E_S ###SpeakerB16*t16 . ###Uh-huh , E_S ###yes , E_S ###see I have an unlisted telephone number , E_S ###but I still get all of those calls E_S ###and then some of them are speaking in a foreign language that I do n't even understand -N401AA7 . E_S ###So , yeah , E_S ###I do , E_S ###I really feel -NONE- that 's , uh , an invasion of my privacy . E_S ###I agree with you on that particular subject there . E_S ###-NONE- Let me see . E_S ###SpeakerA17*t17 . ###That 's about , that as far as any other everyday occurrences , E_S 	yes	yes	no	no	no	no	yes	no	yes	S	no
